,Arxiv_key,Author,Citation_count,Figures,Pages,Pub,Title,Year,Pub_average,Citation_category,h_index,m_index,e_index,i10_index,i100_index,g_index,tori_index,riq_index
11,http://arxiv.org/abs/astro-ph/9310024v1,"[u'Martin, T. J.', u'Pearce, F. R.', u'Thomas, P. A.']",0,5.0,15.0,ArXiv e-prints,"[u""An Owner's Guide to Smoothed Particle Hydrodynamics""]",1993,5.563943161634103,0,8.0,0.2,12.3,7.0,0.0,15.0,7.3,57.0
12,http://arxiv.org/abs/astro-ph/9311016v1,"[u'Scappini, F.', u'Palumbo, G. G. C.', u'Bruni, G.', u'Bergman, P.']",8,6.0,16.0,The Astrophysical Journal,[u'Molecular Lines in BOK Globules and around Herbig Ae/Be Stars'],1994,68.21280724450195,0,7.0,0.3,6.5,3.0,0.0,10.0,3.5,81.0
13,http://arxiv.org/abs/astro-ph/9409051v1,"[u'Cramer, John G.', u'Forward, Robert L.', u'Morris, Michael S.', u'Visser, Matt', u'Benford, Gregory', u'Landis, Geoffrey A.']",80,4.0,4.0,Physical Review D,[u'Natural wormholes as gravitational lenses'],1995,56.45515394912985,2,8.0,0.4,20.4,8.0,2.0,20.0,19.7,221.0
14,http://arxiv.org/abs/hep-ph/9302261v2,"[u'Kaiser, N.', u'Malaney, R. A.', u'Starkman, G. D.']",16,3.0,7.0,Physical Review Letters,[u'Neutrino lasing in the early Universe'],1993,107.7734375,0,9.0,2.2,39.8,9.0,4.0,20.0,33.9,1456.0
15,http://arxiv.org/abs/astro-ph/9308004v1,"[u'Bruni, M.', u'Piotrkowska, K.']",4,4.0,21.0,Monthly Notices of the Royal Astronomical Society,[u'Dust / Radiation Universes - Stability Analysis'],1994,57.93898718730934,0,7.0,0.3,17.9,6.0,1.0,10.0,4.5,101.0
16,http://arxiv.org/abs/astro-ph/9506055v1,"[u'Burrows, A.', u'Saumon, D.', u'Guillot, T.', u'Hubbard, W. B.', u'Lunine, J. I.']",44,3.0,9.0,Nature,[u'Prospects for detection of extra-solar giant planets by next-generation telescopes'],1995,175.1153846153846,1,8.0,2.0,27.5,8.0,4.0,20.0,10.3,800.0
17,http://arxiv.org/abs/astro-ph/9508104v1,"[u'Jing, Y. P.', u'Borner, G.']",7,3.0,6.0,Monthly Notices of the Royal Astronomical Society,[u'The velocity dispersion profiles of clusters of galaxies: a cosmological test and the sampling effect'],1996,57.93898718730934,0,8.0,0.9,12.6,7.0,0.0,15.0,2.0,158.0
18,http://arxiv.org/abs/astro-ph/9411091v1,"[u'Miller, John C.', u'Rezzolla, Luciano']",23,9.0,21.0,Physical Review D,[u'Hydrodynamics of the cosmological quark-hadron transition in the presence of long-range energy and momentum transfer'],1995,56.45515394912985,1,5.0,0.7,9.1,4.0,0.0,10.0,3.5,268.0
19,http://arxiv.org/abs/astro-ph/9503052v1,"[u'Armitage, P. J.']",17,3.0,8.0,Monthly Notices of the Royal Astronomical Society,[u'Magnetic cycles and photometric variability of T Tauri stars'],1995,57.93898718730934,0,1.0,1.0,4.0,1.0,0.0,1.0,0.7,853.0
20,http://arxiv.org/abs/hep-ph/9408392v1,"[u'Bottino, A.', u'Favero, C.', u'Fornengo, N.', u'Mignola, G.']",43,7.0,13.0,Astroparticle Physics,[u'Amount of antiprotons in cosmic rays due to halo neutralino annihilation'],1995,47.26984126984127,1,8.0,1.1,17.3,8.0,0.0,19.0,2.3,215.0
21,http://arxiv.org/abs/astro-ph/9604016v1,"[u'Heggie, Douglas C.', u'Hut, Piet', u'McMillan, Stephen L. W.']",66,2.0,25.0,The Astrophysical Journal,[u'Binary--Single-Star Scattering. VII. Hard Binary Exchange Cross Sections for Arbitrary Mass Ratios: Numerical Results and Semianalytic FITS'],1996,68.21280724450195,2,9.0,1.1,15.6,8.0,0.0,18.0,5.7,297.0
22,http://arxiv.org/abs/hep-ph/9507453v1,"[u'Dine, Michael', u'Randall, Lisa', u'Thomas, Scott']",447,2.0,46.0,Nuclear Physics B,[u'Baryogenesis from flat directions of the supersymmetric standard model'],1996,76.0,2,10.0,2.0,51.2,10.0,5.0,20.0,27.7,1051.0
23,http://arxiv.org/abs/astro-ph/9501015v1,"[u'NELLA Helene, DI', u'Georges, PATUREL', u'de Lyon, Observatoire']",0,2.0,7.0,ArXiv e-prints,[u'Structure on large scale in the Universe up to the distance of 200 Mpc'],1995,5.563943161634103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,http://arxiv.org/abs/astro-ph/9409085v1,"[u'Ferraro, F. R.', u'Fusi Pecci, F.', u'Testa, V.', u'Greggio, L.', u'Corsi, C. E.', u'Buonanno, R.', u'Terndrup, D. M.', u'Zinnecker, H.']",62,15.0,26.0,Monthly Notices of the Royal Astronomical Society,[u'Globular clusters in the Magellanic Clouds - II. IR-array photometry for 12 globular clusters and contributions to the integrated cluster light'],1995,57.93898718730934,2,8.0,2.0,19.6,8.0,1.0,20.0,2.6,400.0
25,http://arxiv.org/abs/astro-ph/9603124v1,"[u'Andersen, Victor']",18,5.0,16.0,The Astronomical Journal,[u'The Distribution of Barred Galaxies in the Virgo Cluster'],1996,82.62099644128114,0,7.0,0.2,7.5,5.0,0.0,10.0,2.3,40.0
26,http://arxiv.org/abs/astro-ph/9312032v1,"[u'Arzoumanian, Z.', u'Fruchter, A. S.', u'Taylor, J. H.']",73,3.0,9.0,The Astrophysical Journal,[u'Orbital Variability in the Eclipsing Pulsar Binary PSR B1957+20'],1994,68.21280724450195,2,1.0,0.5,8.5,1.0,0.0,2.0,0.8,444.0
27,http://arxiv.org/abs/astro-ph/9506105v1,"[u'Santiago, Basilio X.', u'Gilmore, Gerard', u'Elson, Rebecca A. W.']",40,6.0,18.0,Monthly Notices of the Royal Astronomical Society,[u'HST star counts at high galactic latitudes'],1996,57.93898718730934,1,6.0,0.9,15.4,6.0,0.0,7.0,2.2,213.0
28,http://arxiv.org/abs/hep-th/9410095v1,"[u'Carter, Brandon', u'Gregory, Ruth']",39,2.0,19.0,Physical Review D,[u'Curvature corrections to dynamics of domain walls'],1995,56.45515394912985,1,11.0,3.7,15.0,11.0,0.0,18.0,11.8,1146.0
29,http://arxiv.org/abs/astro-ph/9510043v1,"[u'Kolb, Edward W.', u'Tkachev, Igor I.']",40,2.0,7.0,The Astrophysical Journal,[u'Femtolensing and Picolensing by Axion Miniclusters'],1996,68.21280724450195,1,6.0,1.5,14.9,6.0,0.0,16.0,4.1,508.0
30,http://arxiv.org/abs/astro-ph/9602070v1,"[u'Scoccimarro, Roman', u'Frieman, Joshua A.']",82,19.0,48.0,The Astrophysical Journal,[u'Loop Corrections in Nonlinear Cosmological Perturbation Theory. II. Two-Point Statistics and Self-Similarity'],1996,68.21280724450195,2,2.0,2.0,12.8,2.0,0.0,3.0,2.4,1555.0
31,http://arxiv.org/abs/astro-ph/9508063v1,"[u'Zapatero Osorio, M. R.', u'Rebolo, R.', u'Martin, E. L.', u'Garcia Lopez, R. J.']",27,6.0,9.0,Astronomy and Astrophysics,[u'Stars approaching the substellar limit in the \u03b1 Persei open cluster.'],1996,44.746808510638296,1,1.0,0.3,5.1,1.0,0.0,3.0,0.2,141.0
32,http://arxiv.org/abs/astro-ph/9508065v1,"[u'Ruhl, J. E.', u'Dragovan, M.', u'Platt, S. R.', u'Kovac, J.', u'Novak, G.']",51,2.0,10.0,The Astrophysical Journal,[u'Anisotropy in the Microwave Sky at 90 GHz: Results from Python II'],1995,68.21280724450195,2,3.0,0.8,7.1,1.0,0.0,5.0,0.6,191.0
33,http://arxiv.org/abs/astro-ph/9508067v1,"[u'Bertoldi, Frank', u'Draine, B. T.']",99,8.0,31.0,The Astrophysical Journal,[u'Nonequilibrium Photodissociation Regions: Ionization-Dissociation Fronts'],1996,68.21280724450195,2,6.0,0.8,30.9,6.0,3.0,13.0,16.7,511.0
34,http://arxiv.org/abs/astro-ph/9310043v1,"[u'Catelan, P.', u'Coles, P.', u'Matarrese, S.', u'Moscardini, L.']",11,2.0,8.0,Monthly Notices of the Royal Astronomical Society,[u'Weighted Bias and Galaxy Clustering'],1994,57.93898718730934,0,5.0,0.6,7.3,4.0,0.0,8.0,0.8,113.0
35,http://arxiv.org/abs/astro-ph/9501054v1,"[u'Carollo, C. M.', u'de Zeeuw, P. T.', u'van der Marel, R. P.']",28,7.0,10.0,Monthly Notices of the Royal Astronomical Society,[u'Velocity profiles of Osipkov-Merritt models'],1995,57.93898718730934,1,6.0,2.0,22.3,5.0,3.0,10.0,4.9,740.0
36,http://arxiv.org/abs/astro-ph/9511025v1,"[u'Gonzalez, Rosa A.', u'Graham, James R.']",37,10.0,25.0,The Astrophysical Journal,[u'Tracing the Dynamics of Disk Galaxies with Optical and Infrared Surface Photometry: Color Gradients in M99'],1996,68.21280724450195,1,7.0,0.1,10.0,7.0,0.0,12.0,2.7,15.0
37,http://arxiv.org/abs/astro-ph/9402018v1,"[u'Frail, Dale A.', u'Diamond, Philip J.', u'Cordes, James M.', u'van Langevelde, Huib Jan']",77,2.0,17.0,The Astrophysical Journal,[u'Anisotropic Scattering of OH/IR Stars toward the Galactic Center'],1994,68.21280724450195,2,9.0,0.9,23.8,9.0,2.0,18.0,8.8,296.0
38,http://arxiv.org/abs/astro-ph/9503080v1,"[u'Corbelli, Edvige', u'Ferrara, Andrea']",21,6.0,24.0,The Astrophysical Journal,[u'Instabilities in Photoionized Interstellar Gas'],1995,68.21280724450195,1,9.0,1.1,15.2,9.0,0.0,13.0,4.2,256.0
39,http://arxiv.org/abs/astro-ph/9407003v1,"[u'Trevese, Dario', u'Kron, Richard G.', u'Majewski, Steven R.', u'Bershady, Matthew A.', u'Koo, David C.']",80,8.0,40.0,The Astrophysical Journal,[u'The Ensemble Variability Properties of Faint QSOs'],1994,68.21280724450195,2,5.0,0.3,12.6,4.0,0.0,13.0,1.7,69.0
40,http://arxiv.org/abs/hep-ph/9301211v1,"[u'Akhmedov, E. Kh.', u'Petcov, S. T.', u'Smirnov, A. Yu.']",56,4.0,35.0,Physical Review D,[u'Neutrinos with mixing in twisting magnetic fields'],1993,56.45515394912985,2,11.0,2.2,13.5,11.0,0.0,17.0,5.0,448.0
41,http://arxiv.org/abs/astro-ph/9507101v1,"[u'van Dokkum, P. G.', u'Franx, M.']",211,7.0,28.0,The Astronomical Journal,[u'Dust in the Cores of Early-Type Galaxies'],1995,82.62099644128114,2,2.0,1.0,15.4,2.0,1.0,2.0,2.9,857.0
42,http://arxiv.org/abs/hep-ph/9512321v1,"[u'Fields, Brian D.', u'Kainulainen, Kimmo', u'Olive, Keith A.']",19,6.0,29.0,Astroparticle Physics,[u'Nucleosynthesis limits on the mass of long lived tau and muon neutrinos'],1997,47.26984126984127,0,9.0,1.8,14.2,9.0,0.0,16.0,2.9,338.0
43,http://arxiv.org/abs/astro-ph/9407015v1,"[u'Page, Dany']",127,10.0,30.0,The Astrophysical Journal,[u'Surface Temperature of a Magnetized Neutron Star and Interpretation of the ROSAT Data. I. Dipolar Fields'],1995,68.21280724450195,2,4.0,0.7,17.1,3.0,2.0,18.0,8.7,490.0
44,http://arxiv.org/abs/astro-ph/9404046v1,"[u'Wiseman, Jennifer J.', u'Adams, Fred C.']",19,15.0,27.0,The Astrophysical Journal,[u'A Quantitative Analysis of IRAS Maps of Molecular Clouds'],1994,68.21280724450195,0,2.0,0.2,4.4,1.0,0.0,4.0,0.3,65.0
45,http://arxiv.org/abs/astro-ph/9211004v1,"[u'Kosowsky, Arthur', u'Turner, Michael S.']",98,13.0,28.0,Physical Review D,[u'Gravitational radiation from colliding vacuum bubbles: Envelope approximation to many-bubble collisions'],1993,56.45515394912985,2,3.0,1.5,17.4,3.0,2.0,4.0,2.8,838.0
46,http://arxiv.org/abs/hep-ph/9503393v1,"[u'Bucher, Martin', u'Turok, Neil']",68,3.0,24.0,Physical Review D,[u'Open inflation with an arbitrary false vacuum mass'],1995,56.45515394912985,2,7.0,0.5,19.3,6.0,1.0,18.0,6.2,178.0
47,http://arxiv.org/abs/astro-ph/9604142v3,"[u'Matsubara, Takahiko', u'Suto, Yasushi']",118,3.0,9.0,The Astrophysical Journal,[u'Cosmological Redshift Distortion of Correlation Functions as a Probe of the Density Parameter and the Cosmological Constant'],1996,68.21280724450195,2,11.0,0.6,17.4,11.0,1.0,20.0,8.2,142.0
48,http://arxiv.org/abs/astro-ph/9407005v1,"[u'Quinlan, Gerald D.', u'Hernquist, Lars', u'Sigurdsson, Steinn']",131,6.0,14.0,The Astrophysical Journal,[u'Models of Galaxies with Central Black Holes: Adiabatic Growth in Spherical Galaxies'],1995,68.21280724450195,2,7.0,0.8,22.4,7.0,2.0,19.0,10.8,365.0
49,http://arxiv.org/abs/astro-ph/9403035v1,"[u'Catelan, Paolo', u'Moscardini, Lauro']",12,2.0,10.0,The Astrophysical Journal,[u'Kurtosis as a Non-Gaussian Signature of the Large-Scale Velocity Field'],1994,68.21280724450195,0,3.0,0.4,7.0,3.0,0.0,6.0,0.7,119.0
50,http://arxiv.org/abs/astro-ph/9507111v1,"[u'Haiman, Zoltan', u'Thoul, Anne A.', u'Loeb, Abraham']",235,14.0,40.0,The Astrophysical Journal,[u'Cosmological Formation of Low-Mass Objects'],1996,68.21280724450195,2,3.0,1.0,16.7,3.0,1.0,3.0,1.9,455.0
51,http://arxiv.org/abs/astro-ph/9401026v1,"[u'Loeb, Abraham', u'Rasio, Frederic A.']",140,4.0,20.0,The Astrophysical Journal,[u'Collapse of Primordial Gas Clouds and the Formation of Quasar Black Holes'],1994,68.21280724450195,2,10.0,1.4,17.1,10.0,1.0,20.0,11.0,474.0
52,http://arxiv.org/abs/astro-ph/9403008v1,"[u'Wilson, Christine D.', u'Walker, Constance E.']",11,9.0,16.0,The Astrophysical Journal,[u'Diffuse Molecular Clouds and the Molecular Interstellar Medium from 13CO Observations of M33'],1994,68.21280724450195,0,11.0,2.2,16.2,11.0,1.0,19.0,7.8,558.0
53,http://arxiv.org/abs/astro-ph/9510119v2,"[u'Price, P. B.']",36,4.0,22.0,Astroparticle Physics,"[u'Comparison of optical, radio, and acoustical detectors for ultrahigh-energy neutrinos']",1996,47.26984126984127,1,9.0,1.1,9.7,9.0,0.0,13.0,7.3,338.0
54,http://arxiv.org/abs/gr-qc/9209010v1,"[u'Finn, Lee S.']",237,6.0,37.0,Physical Review D,"[u'Detection, measurement, and gravitational radiation']",1992,56.45515394912985,2,9.0,1.1,19.0,8.0,1.0,13.0,14.0,467.0
55,http://arxiv.org/abs/gr-qc/9512042v1,"[u'Cheb-Terrab, E. S.', u'de Oliveira, H. P.']",10,21.0,15.0,Computer Physics Communications,[u'Poincar\xe9 sections of Hamiltonian systems'],1996,54.142857142857146,0,4.0,1.3,4.1,2.0,0.0,5.0,1.7,438.0
56,http://arxiv.org/abs/astro-ph/9506080v1,"[u'Boeer, M.', u'Greiner, J.', u'Motch, C.']",18,5.0,8.0,Astronomy and Astrophysics,[u'The optical content of the error box of GRS 1915+105.'],1996,44.746808510638296,0,5.0,0.6,6.1,4.0,0.0,8.0,0.9,115.0
57,http://arxiv.org/abs/astro-ph/9403004v3,"[u'Dodelson, Scott', u'Knox, Lloyd', u'Kolb, Edward W.']",23,4.0,11.0,Physical Review Letters,[u'Testing inflation with the cosmic microwave background'],1994,107.7734375,1,12.0,2.0,28.4,13.0,1.0,20.0,11.2,557.0
58,http://arxiv.org/abs/astro-ph/9409091v1,"[u'Bryan, Greg L.', u'Klypin, Anatoly', u'Loken, Chris', u'Norman, Michael L.', u'Burns, Jack O.']",31,3.0,11.0,The Astrophysical Journal,[u'The Evolution of X-Ray Clusters in a Cold Plus Hot Dark Matter Universe'],1994,68.21280724450195,1,4.0,0.8,11.1,4.0,0.0,8.0,1.0,203.0
59,http://arxiv.org/abs/gr-qc/9409020v3,"[u'Fonarev, Oleg A.']",27,2.0,25.0,Classical and Quantum Gravity,[u'Exact Einstein scalar field solutions for formation of black holes in a cosmological setting'],1995,35.38709677419355,1,4.0,0.7,4.8,1.0,0.0,6.0,1.4,199.0
60,http://arxiv.org/abs/gr-qc/9303001v1,"[u'Brandenberger, R.', u'Mukhanov, V.', u'Sornborger, A.']",119,11.0,25.0,Physical Review D,[u'Cosmological theory without singularities'],1993,56.45515394912985,2,7.0,2.3,17.2,6.0,1.0,18.0,5.0,742.0
61,http://arxiv.org/abs/astro-ph/9601158v1,"[u'White, Martin']",11,5.0,18.0,Physical Review D,[u'Cosmic confusion and structure formation'],1996,56.45515394912985,0,9.0,4.5,16.6,9.0,0.0,19.0,5.3,1156.0
62,http://arxiv.org/abs/hep-ph/9301239v1,"[u'Akhmedov, E. Kh.', u'Lanza, A.', u'Petcov, S. T.']",32,5.0,16.0,Physics Letters B,[u'Implications of gallium solar neutrino data for the resonant spin-flavor precession scenario'],1993,48.70289855072464,1,9.0,1.8,12.3,9.0,0.0,15.0,4.5,425.0
63,http://arxiv.org/abs/astro-ph/9401050v1,"[u'Bar-Kana, Rennan']",22,3.0,10.0,Physical Review D,[u'Limits on direct detection of gravitational waves'],1994,56.45515394912985,1,1.0,1.0,4.6,1.0,0.0,1.0,0.4,663.0
64,http://arxiv.org/abs/astro-ph/9601036v1,"[u'Band, David L.']",3,3.0,12.0,The Astrophysical Journal,[u'Sky Coverage and Burst Repetition'],1996,68.21280724450195,0,5.0,1.2,36.8,5.0,1.0,20.0,5.4,581.0
65,http://arxiv.org/abs/gr-qc/9505031v1,"[u'Vilenkin, Alexander']",68,4.0,25.0,Physical Review D,[u'Making predictions in an eternally inflating universe'],1995,56.45515394912985,2,10.0,1.4,40.3,10.0,4.0,20.0,49.4,1004.0
66,http://arxiv.org/abs/astro-ph/9402035v1,"[u'Giallongo, E.', u""D'Odorico, S."", u'Fontana, A.', u'McMahon, R. G.', u'Savaglio, S.', u'Cristiani, S.', u'Molaro, P.', u'Trevese, D.']",71,3.0,11.0,The Astrophysical Journal,[u'The Gunn-Peterson Effect in the Spectrum of the Z = 4.7 QSO 1202-0725: The Intergalactic Medium at Very High Redshifts'],1994,68.21280724450195,2,8.0,1.6,15.2,8.0,0.0,15.0,3.2,359.0
67,http://arxiv.org/abs/astro-ph/9601107v1,"[u'Martin, Crystal L.']",104,6.0,31.0,The Astrophysical Journal,[u'Kinematic Evidence for Superbubbles in I ZW 18: Constraints on the Star Formation History and Chemical Evolution'],1996,68.21280724450195,2,7.0,1.4,17.0,7.0,1.0,19.0,9.2,606.0
68,http://arxiv.org/abs/astro-ph/9512137v2,"[u'Stanek, K. Z.']",118,4.0,8.0,The Astrophysical Journal,"[u""Extinction Map of Baade's Window""]",1996,68.21280724450195,2,5.0,1.0,18.6,4.0,2.0,15.0,6.4,504.0
69,http://arxiv.org/abs/astro-ph/9508028v2,"[u'Hermann, G.', u'K\xf6hler, C.', u'Kutter, T.', u'Hofmann, W.']",4,7.0,19.0,ArXiv e-prints,[u'Triggering of Imaging Air Cherenkov Telescopes: PMT trigger rates due to night-sky photons'],1995,5.563943161634103,0,5.0,0.3,4.2,1.0,0.0,7.0,1.6,65.0
70,http://arxiv.org/abs/astro-ph/9605186v2,"[u'Kalogera, Vassiliki']",84,14.0,27.0,The Astrophysical Journal,[u'Orbital Characteristics of Binary Systems after Asymmetric Supernova Explosions'],1996,68.21280724450195,2,3.0,3.0,17.1,3.0,1.0,6.0,5.7,2383.0
71,http://arxiv.org/abs/hep-ph/9508378v1,"[u'Fujisaki, H.', u'Kumekawa, K.', u'Yamaguchi, M.', u'Yoshimura, M.']",55,4.0,12.0,Physical Review D,[u'Particle production and dissipative cosmic field'],1996,56.45515394912985,2,8.0,1.1,8.4,5.0,0.0,12.0,1.9,198.0
72,http://arxiv.org/abs/astro-ph/9305028v1,"[u'Eboli, O.', u'Ribelles, V.']",0,35.0,94.0,ArXiv e-prints,[u'Lectures on Modern Cosmology and Structure Formation'],1993,5.563943161634103,0,8.0,0.7,16.3,8.0,1.0,16.0,5.7,217.0
73,http://arxiv.org/abs/astro-ph/9508019v1,"[u'Maehoenen, P. H.', u'Hakala, P. J.']",22,4.0,10.0,The Astrophysical Journal,[u'Automated Source Classification Using a Kohonen Network'],1995,68.21280724450195,1,1.0,1.0,4.6,1.0,0.0,1.0,0.7,834.0
74,http://arxiv.org/abs/astro-ph/9508022v1,"[u'Molteni, Diego', u'Sponholz, Hanno', u'Chakrabarti, Sandip K.']",168,6.0,24.0,The Astrophysical Journal,[u'Resonance Oscillation of Radiative Shock Waves in Accretion Disks around Compact Objects'],1996,68.21280724450195,2,6.0,0.3,18.7,6.0,2.0,17.0,6.0,129.0
75,http://arxiv.org/abs/astro-ph/9601053v1,"[u'Kaluzny, J.', u'Kubiak, M.', u'Szymanski, M.', u'Udalski, A.', u'Krzeminski, W.', u'Mateo, M.']",77,14.0,35.0,Astronomy and Astrophysics Supplement Series,[u'The optical gravitational lensing experiment. Variable stars in globular clusters. I. Fields 5139A-C in \u03c9 Centauri.'],1996,42.1375,2,13.0,2.6,20.9,13.0,1.0,20.0,7.9,563.0
76,http://arxiv.org/abs/astro-ph/9602082v1,"[u'Bi, Hongguang', u'Fang, Li-Zhi']",7,11.0,23.0,The Astrophysical Journal,"[u'Abundance and Clustering of C IV Absorption Systems in the SCDM, LCDM, and CHDM Models']",1996,68.21280724450195,0,6.0,0.5,15.4,5.0,0.0,17.0,4.2,157.0
77,http://arxiv.org/abs/astro-ph/9408080v1,"[u'Jedamzik, Karsten']",47,4.0,13.0,The Astrophysical Journal,[u'The Cloud-in-Cloud Problem in the Press-Schechter Formalism of Hierarchical Structure Formation'],1995,68.21280724450195,1,5.0,1.7,13.3,5.0,0.0,8.0,3.4,618.0
78,http://arxiv.org/abs/astro-ph/9602041v1,"[u'Im, Myungshin', u'Griffiths, Richard E.', u'Ratnatunga, Kavan U.', u'Sarajedini, Vicki L.']",49,4.0,4.0,The Astrophysical Journal,[u'Luminosity Functions of Elliptical Galaxies at Z <1.2'],1996,68.21280724450195,1,3.0,0.8,10.5,3.0,0.0,8.0,0.7,216.0
79,http://arxiv.org/abs/astro-ph/9304008v1,"[u'Krisciunas, K.', u'Aspin, C.', u'Geballe, T. R.', u'Akazawa, H.', u'Claver, C. F.', u'Guinan, E. F.', u'Landis, H. J.', u'Luedeke, K. D.', u'Ohkura, N.', u'Ohshima, O.', u'Skillman, D. R.']",22,6.0,16.0,Monthly Notices of the Royal Astronomical Society,[u'The 9 Aurigae system.'],1993,57.93898718730934,1,6.0,1.2,10.4,4.0,0.0,12.0,4.6,427.0
80,http://arxiv.org/abs/astro-ph/9407069v2,"[u'Bunn, Emory F.', u'Sugiyama, Naoshi']",72,3.0,10.0,The Astrophysical Journal,[u'Cosmological Constant Cold Dark Matter Models and the COBE Two-Year Sky Maps'],1995,68.21280724450195,2,6.0,3.0,14.0,6.0,0.0,6.0,2.9,855.0
81,http://arxiv.org/abs/astro-ph/9411099v2,"[u'Ricci, B.', u""degl'innocenti, S."", u'Fiorentini, G.']",17,4.0,11.0,Physical Review C,[u'Screening of nuclear reactions in the Sun and solar neutrinos'],1995,34.904761904761905,0,1.0,1.0,4.0,1.0,0.0,1.0,0.3,553.0
82,http://arxiv.org/abs/astro-ph/9404060v2,"[u'van Riper, Kenneth A.', u'Link, Bennett', u'Epstein, Richard I.']",41,7.0,24.0,The Astrophysical Journal,[u'Frictional Heating and Neutron Star Thermal Evolution'],1995,68.21280724450195,1,8.0,0.5,18.6,8.0,1.0,20.0,11.5,226.0
83,http://arxiv.org/abs/astro-ph/9604035v1,"[u'Weber, F.', u'Schaab, Ch.', u'Weigel, M. K.', u'Glendenning, N. K.']",0,3.0,9.0,ArXiv e-prints,"[u'Quark Matter, Massive Stars and Strange Planets']",1996,5.563943161634103,0,3.0,0.6,7.8,1.0,0.0,8.0,1.5,246.0
